9726.txt		0.20377118188143822
6308.txt		0.19971675041821413
7734.txt		0.19971675041821413
7727.txt		0.19971675041821413
1098.txt		0.19286939395491964
1132.txt		0.19286939395491964
8812.txt		0.19285753539299857
4059.txt		0.1726624486768316
9760.txt		0.16469913915649353
9737.txt		0.16469913915649353
2203.txt		0.16278195282141353
2233.txt		0.14959467676671176
2212.txt		0.14959467676671176
1700.txt		0.1494477476565433
1695.txt		0.1494477476565433
1359.txt		0.1494477476565433
1302.txt		0.1494477476565433
1716.txt		0.1494477476565433
1744.txt		0.1494477476565433
2078.txt		0.13852100246140003
